year,cash_from_operating_activity,cash_from_investing_activity,cash_from_financing_activity,net_cash_flow,symbol
Mar 2013,"7,102","-3,881","-3,310",-90,ITC
Mar 2014,"7,344","-3,254","-4,122",-32,ITC
Mar 2015,"9,843","-5,275","-4,661",-93,ITC
Mar 2016,"9,799","-3,921","-5,613",266,ITC
Mar 2017,"10,627","-3,251","-7,301",75,ITC
Mar 2018,"13,169","-7,114","-6,221",-166,ITC
Mar 2019,"12,583","-5,546","-6,869",169,ITC
Mar 2020,"14,690","-6,174","-8,181",334,ITC
Mar 2021,"12,527","5,740","-18,634",-367,ITC
Mar 2022,"15,776","-2,238","-13,580",-43,ITC
Mar 2011,609,-21,834,"1,421",INDUSINDBK
Mar 2012,-840,-141,"2,496","1,515",INDUSINDBK
Mar 2013,-486,-174,"1,969","1,309",INDUSINDBK
Mar 2014,"-4,106",-174,"4,200",-79,INDUSINDBK
Mar 2015,"-1,421",-276,"5,707","4,010",INDUSINDBK
Mar 2016,"-2,927",-258,"2,517",-667,INDUSINDBK
Mar 2017,"11,569",-285,"-2,768","8,516",INDUSINDBK
Mar 2018,"-20,700",-217,"15,505","-5,412",INDUSINDBK
Mar 2019,"-6,389",-633,"8,590","1,568",INDUSINDBK
Mar 2020,"-12,039",526,"12,733","1,220",INDUSINDBK
Mar 2021,"44,646",-226,"-4,096","40,324",INDUSINDBK
Mar 2022,"16,600",-351,"-4,302","11,947",INDUSINDBK
Mar 2011,"4,752","3,443","-3,640","4,555",INFY
Mar 2012,"6,394",-147,"-2,322","3,925",INFY
Mar 2013,"7,373","-2,922","-3,210","1,241",INFY
Mar 2014,"9,825","-2,563","-3,144","4,118",INFY
Mar 2015,"8,353",999,"-4,935","4,417",INFY
Mar 2016,"10,028",-885,"-6,813","2,330",INFY
Mar 2017,"11,531","-14,664","-6,939","-10,072",INFY
Mar 2018,"13,218","4,533","-20,505","-2,754",INFY
Mar 2019,"14,841",-632,"-14,512",-303,INFY
Mar 2020,"17,003",-331,"-17,591",-919,INFY
Mar 2021,"23,224","-7,373","-9,786","6,065",INFY
Mar 2022,"23,885","-6,485","-24,642","-7,242",INFY
Mar 2011,"2,830","-7,633","5,096",293,JSWSTEEL
Mar 2012,"3,512","-4,101",698,110,JSWSTEEL
Mar 2013,"5,844","-5,433",-791,-380,JSWSTEEL
Mar 2014,"2,594","-5,618","3,300",276,JSWSTEEL
Mar 2015,"7,876","-7,372",-169,334,JSWSTEEL
Mar 2016,"6,897","-3,857","-3,151",-111,JSWSTEEL
Mar 2017,"7,888","-5,094","-2,710",84,JSWSTEEL
Mar 2018,"12,379","-4,529","-8,185",-335,JSWSTEEL
Mar 2019,"14,633","-11,387","1,753","4,999",JSWSTEEL
Mar 2020,"12,785","-19,589","5,189","-1,615",JSWSTEEL
Mar 2021,"18,831","-9,410","-1,444","7,977",JSWSTEEL
Mar 2022,"26,270","-14,748","-14,657","-3,135",JSWSTEEL
Mar 2011,"-1,739",-189,"2,415",487,KOTAKBANK
Mar 2012,"-1,192","-5,456","7,229",582,KOTAKBANK
Mar 2013,"2,878","-9,035","7,099",942,KOTAKBANK
Mar 2014,"9,068","-1,130","-5,814","2,125",KOTAKBANK
Mar 2015,"2,302","-4,467","2,426",260,KOTAKBANK
Mar 2016,"5,025","-2,353","2,024","4,696",KOTAKBANK
Mar 2017,"13,222","-5,289","6,055","13,989",KOTAKBANK
Mar 2018,"-10,392","-5,475","14,679","-1,188",KOTAKBANK
Mar 2019,"1,822","-3,323","8,365","6,864",KOTAKBANK
Mar 2020,"46,619","-13,068",-735,"32,815",KOTAKBANK
Mar 2021,"4,881","-11,172","-10,072","-16,363",KOTAKBANK
Mar 2022,"8,418","-11,018","7,549","4,949",KOTAKBANK
Mar 2011,"-1,616","-5,929","7,868",324,LT
Mar 2012,"-6,227","-5,864","11,968",-123,LT
Mar 2013,"-4,355","-6,922","11,429",152,LT
Mar 2014,"-7,143","-5,510","13,136",483,LT
Mar 2015,"-1,365","-4,778","7,903","1,759",LT
Mar 2016,"-3,240","-4,627","7,253",-613,LT
Mar 2017,"6,655","-9,796","2,896",-245,LT
Mar 2018,"-10,031","3,914","9,370","3,254",LT
Mar 2019,"-4,756","-11,023","15,440",-338,LT
Mar 2020,"6,694","-8,408","6,372","4,658",LT
Mar 2021,"23,074","-5,750","-15,274","2,049",LT
Mar 2022,"19,164","-3,585","-15,181",397,LT
Mar 2011,-577,"-1,388","1,437",-528,M&M
Mar 2012,61,"-2,968","4,256","1,349",M&M
Mar 2013,-922,"-2,903","4,508",684,M&M
Mar 2014,-244,"-4,524","5,577",810,M&M
Mar 2015,"1,055","-4,357","1,669","-1,633",M&M
Mar 2016,"2,385","-5,506","2,967",-154,M&M
Mar 2017,183,"-5,875","6,108",416,M&M
Mar 2018,682,"-5,467","6,314","1,529",M&M
Mar 2019,"-4,347","-7,174","13,194","1,672",M&M
Mar 2020,"-1,457","-6,870","6,933","-1,394",M&M
Mar 2021,"17,909","-19,686",406,"-1,370",M&M
Mar 2022,"9,248","-3,252","-5,883",113,M&M
Mar 2011,"3,071",-10,-691,"2,369",MARUTI
Mar 2012,"2,655","-3,181",610,84,MARUTI
Mar 2013,"4,059","-3,119",-979,-39,MARUTI
Mar 2014,"4,995","-4,997",-74,-76,MARUTI
Mar 2015,"6,449","-4,491","-2,004",-45,MARUTI
Mar 2016,"8,482","-7,230","-1,237",16,MARUTI
Mar 2017,"10,282","-9,173","-1,129",-20,MARUTI
Mar 2018,"11,788","-8,302","-3,436",50,MARUTI
Mar 2019,"6,601","-3,540","-2,948",113,MARUTI
Mar 2020,"3,496",-557,"-3,104",-165,MARUTI
Mar 2021,"8,856","-7,291","-1,545",20,MARUTI
Mar 2022,"1,840",-239,"-1,607",-6,MARUTI
Mar 2011,"12,068","-9,372",-889,"1,807",NTPC
Mar 2012,"11,397","-9,583","-1,583",231,NTPC
Mar 2013,"16,508","-16,845",988,651,NTPC
Mar 2014,"16,531","-15,509","-2,709","-1,687",NTPC
Mar 2015,"14,889","-15,977","-1,474","-2,563",NTPC
Mar 2016,"24,125","-19,162","-3,899","1,064",NTPC
Mar 2017,"20,167","-24,480","3,138","-1,176",NTPC
Mar 2018,"19,670","-20,678","1,028",19,NTPC
Mar 2019,"18,686","-24,063","4,927",-451,NTPC
Mar 2020,"23,890","-29,628","6,004",266,NTPC
Mar 2021,"32,444","-21,034","-11,049",360,NTPC
Mar 2022,"41,788","-22,838","-19,172",-222,NTPC
Dec 2010,"1,037",-446,-544,47,NESTLEIND
Dec 2011,"1,158","-1,528",323,-47,NESTLEIND
Dec 2012,"1,693",-941,-513,239,NESTLEIND
Dec 2013,"1,796",-441,-580,775,NESTLEIND
Dec 2014,"1,644",-432,"-1,635",-423,NESTLEIND
Dec 2015,"1,098",-70,-498,529,NESTLEIND
Dec 2016,"1,466",-126,-666,674,NESTLEIND
Dec 2017,"1,818",-131,-997,691,NESTLEIND
Dec 2018,"2,052",-52,"-1,317",683,NESTLEIND
Dec 2019,"2,295",83,"-3,602","-1,223",NESTLEIND
Dec 2020,"2,454",-321,"-1,956",177,NESTLEIND
Dec 2021,"2,271","-1,957","-2,019","-1,704",NESTLEIND
Mar 2011,"49,085","-32,120","-11,670","5,295",ONGC
Mar 2012,"46,129","-38,375",102,"7,856",ONGC
Mar 2013,"39,874","-41,220","-6,927","-8,273",ONGC
Mar 2014,"53,270","-63,633","15,225","4,862",ONGC
Mar 2015,"33,950","-30,058","-10,641","-6,749",ONGC
Mar 2016,"46,292","-38,256","-8,972",-935,ONGC
Mar 2017,"45,780","-43,815","-1,867",99,ONGC
Mar 2018,"56,792","-66,798","9,909",-97,ONGC
Mar 2019,"61,458","-37,132","-23,324","1,001",ONGC
Mar 2020,"70,593","-53,159","-16,726",708,ONGC
Mar 2021,"47,185","-39,141","-8,239",-195,ONGC
Mar 2022,"78,000","-40,345","-35,979","1,676",ONGC
Mar 2011,"4,895","-13,344","7,948",-501,POWERGRID
Mar 2012,"8,582","-18,495","8,218","-1,695",POWERGRID
Mar 2013,"11,690","-22,084","9,962",-432,POWERGRID
Mar 2014,"15,223","-26,639","13,712","2,295",POWERGRID
Mar 2015,"15,800","-24,185","6,399","-1,986",POWERGRID
Mar 2016,"15,008","-21,576","5,621",-948,POWERGRID
Mar 2017,"21,575","-23,836","3,959","1,698",POWERGRID
Mar 2018,"22,710","-25,701","1,285","-1,707",POWERGRID
Mar 2019,"23,271","-18,727","-2,431","2,113",POWERGRID
Mar 2020,"30,739","-10,733","-18,806","1,199",POWERGRID
Mar 2021,"29,403","-9,244","-20,521",-362,POWERGRID
Mar 2022,"26,124",753,"-28,967","-2,091",POWERGRID
Mar 2011,"33,338","-32,040","14,950","16,248",RELIANCE
Mar 2012,"24,483","-6,301","-7,590","10,592",RELIANCE
Mar 2013,"36,918","-27,601",408,"9,725",RELIANCE
Mar 2014,"43,261","-73,070","13,713","-16,096",RELIANCE
Mar 2015,"34,374","-64,706","8,444","-21,888",RELIANCE
Mar 2016,"38,134","-36,186","-3,210","-1,262",RELIANCE
Mar 2017,"49,550","-66,201","8,617","-8,034",RELIANCE
Mar 2018,"71,459","-68,192","-2,001","1,266",RELIANCE
Mar 2019,"42,346","-94,507","55,906","3,745",RELIANCE
Mar 2020,"94,877","-72,497","-2,541","19,839",RELIANCE
Mar 2021,"26,958","-142,385","101,904","-13,523",RELIANCE
Mar 2022,"110,654","-109,162","17,289","18,781",RELIANCE
Mar 2011,"8,606","-8,125",0,481,SBILIFE
Mar 2012,"6,468","-4,968",0,"1,500",SBILIFE
Mar 2013,"1,130",-227,-58,845,SBILIFE
Mar 2014,166,-708,-58,-600,SBILIFE
Mar 2015,"2,711",-178,-117,"2,416",SBILIFE
Mar 2016,"5,778","-7,204",-144,"-1,570",SBILIFE
Mar 2017,"8,525","-9,032",-144,-651,SBILIFE
Mar 2018,"10,395","-8,910",-221,"1,264",SBILIFE
Mar 2019,"13,473","-13,552",-241,-321,SBILIFE
Mar 2020,"19,299","-16,986",-198,"2,114",SBILIFE
Mar 2021,"23,878","-19,203",3,"4,677",SBILIFE
Mar 2022,"21,852","-21,611",-231,10,SBILIFE
Mar 2011,"43,900","-1,678","1,252","43,474",SBIN
Mar 2012,"-30,114",169,"2,209","-27,737",SBIN
Mar 2013,"24,332","-2,271","-4,424","17,637",SBIN
Mar 2014,"19,142",-791,"3,583","21,934",SBIN
Mar 2015,"26,297","-3,424","-1,553","21,320",SBIN
Mar 2016,"14,477","-2,747","4,348","16,078",SBIN
Mar 2017,"77,406","-4,572","-4,196","68,638",SBIN
Mar 2018,"-96,508","13,053","5,547","-77,908",SBIN
Mar 2019,"29,556",220,448,"30,223",SBIN
Mar 2020,"23,929",-555,"5,430","28,803",SBIN
Mar 2021,"89,919","-3,670","7,143","93,392",SBIN
Mar 2022,"57,695","-2,652","-3,845","51,198",SBIN
Mar 2011,"2,281","-1,300",-804,177,SUNPHARMA
Mar 2012,"2,234",-748,-544,942,SUNPHARMA
Mar 2013,"3,357","-2,375",-665,316,SUNPHARMA
Mar 2014,"3,959","-2,176",507,"2,290",SUNPHARMA
Mar 2015,"5,616","-1,502","-1,187","2,927",SUNPHARMA
Mar 2016,"6,686","-3,949","-1,889",848,SUNPHARMA
Mar 2017,"7,082","-4,186","-2,285",611,SUNPHARMA
Mar 2018,"3,907","-3,104","-1,539",-736,SUNPHARMA
Mar 2019,"2,196",-310,"-2,731",-844,SUNPHARMA
Mar 2020,"6,555","-2,225","-5,715","-1,386",SUNPHARMA
Mar 2021,"6,170",407,"-5,980",596,SUNPHARMA
Mar 2022,"8,985","-5,556","-5,193","-1,765",SUNPHARMA
Mar 2011,"6,614","-1,431","-4,659",524,TCS
Mar 2012,"7,127","-2,727","-3,955",445,TCS
Mar 2013,"11,615","-6,038","-5,729",-152,TCS
Mar 2014,"14,751","-9,452","-5,673",-374,TCS
Mar 2015,"19,369","-1,807","-17,168",394,TCS
Mar 2016,"19,109","-5,010","-9,666","4,433",TCS
Mar 2017,"25,223","-16,895","-11,026","-2,698",TCS
Mar 2018,"25,067","3,104","-26,885","1,286",TCS
Mar 2019,"28,593","1,645","-27,897","2,341",TCS
Mar 2020,"32,369","8,968","-39,915","1,422",TCS
Mar 2021,"38,802","-7,956","-32,634","-1,788",TCS
Mar 2022,"39,949",-738,"-33,581","5,630",TCS
Mar 2011,54,111,"-1,072",-907,TATACONSUM
Mar 2012,279,156,-438,-3,TATACONSUM
Mar 2013,173,24,186,383,TATACONSUM
Mar 2014,422,-1,-363,57,TATACONSUM
Mar 2015,418,-207,-392,-182,TATACONSUM
Mar 2016,116,145,-282,-21,TATACONSUM
Mar 2017,741,145,-816,70,TATACONSUM
Mar 2018,356,-31,-30,294,TATACONSUM
Mar 2019,210,53,-224,39,TATACONSUM
Mar 2020,"1,082",-622,-308,152,TATACONSUM
Mar 2021,"1,656",-346,-426,884,TATACONSUM
Mar 2022,"1,516","-1,317",-995,-796,TATACONSUM
Mar 2011,"11,240","-7,023","-1,401","2,815",TATAMOTORS
Mar 2012,"18,384","-19,464","6,567","5,488",TATAMOTORS
Mar 2013,"22,163","-22,969","-1,692","-2,499",TATAMOTORS
Mar 2014,"36,151","-27,991","-3,883","4,277",TATAMOTORS
Mar 2015,"35,531","-36,232","5,201","4,500",TATAMOTORS
Mar 2016,"37,900","-36,694","-3,795","-2,589",TATAMOTORS
Mar 2017,"30,199","-39,571","6,205","-3,167",TATAMOTORS
Mar 2018,"23,857","-25,139","2,012",730,TATAMOTORS
Mar 2019,"18,891","-20,878","8,830","6,843",TATAMOTORS
Mar 2020,"26,633","-33,115","3,390","-3,092",TATAMOTORS
Mar 2021,"29,001","-25,672","9,904","13,232",TATAMOTORS
Mar 2022,"14,283","-4,444","-3,380","6,459",TATAMOTORS
Mar 2011,"5,655","-7,584","5,973","4,045",TATASTEEL
Mar 2012,"12,018","-3,705","-8,462",-149,TATASTEEL
Mar 2013,"14,035","-13,099","-1,780",-844,TATASTEEL
Mar 2014,"13,146","-15,378","1,015","-1,218",TATASTEEL
Mar 2015,"11,880","-9,021","-2,617",241,TATASTEEL
Mar 2016,"11,455","-8,794","-4,729","-2,068",TATASTEEL
Mar 2017,"10,824","-9,490","-2,579","-1,245",TATASTEEL
Mar 2018,"8,023","-11,730","6,640","2,933",TATASTEEL
Mar 2019,"25,336","-29,176",-673,"-4,513",TATASTEEL
Mar 2020,"20,169","-14,012","-1,695","4,462",TATASTEEL
Mar 2021,"44,327","-9,437","-37,090","-2,200",TATASTEEL
Mar 2022,"44,381","-10,905","-23,401","10,075",TATASTEEL
Mar 2011,464,-133,-287,44,TECHM
Mar 2012,712,-420,-317,-26,TECHM
Mar 2013,855,-622,65,298,TECHM
Mar 2014,"1,596",291,-972,915,TECHM
Mar 2015,"2,448","-1,865",-829,-246,TECHM
Mar 2016,"3,137","-1,453",-496,"1,188",TECHM
Mar 2017,"4,071","-2,893","-1,571",-392,TECHM
Mar 2018,"3,554","-3,319",-269,-35,TECHM
Mar 2019,"4,432","-2,104","-2,251",77,TECHM
Mar 2020,"4,358","1,081","-4,466",974,TECHM
Mar 2021,"8,094","-5,433","-2,987",-326,TECHM
Mar 2022,"5,285",480,"-4,667","1,098",TECHM
Mar 2011,"1,053",-25,-117,912,TITAN
Mar 2012,163,-70,-235,-142,TITAN
Mar 2013,553,-142,-236,176,TITAN
Mar 2014,-555,-271,497,-329,TITAN
Mar 2015,503,-118,"-1,005",-620,TITAN
Mar 2016,576,-159,-505,-88,TITAN
Mar 2017,"1,712",-953,-166,594,TITAN
Mar 2018,-51,98,-252,-206,TITAN
Mar 2019,"1,243",-797,-489,-43,TITAN
Mar 2020,-348,235,-242,-355,TITAN
Mar 2021,"4,139","-2,799","-1,234",106,TITAN
Mar 2022,-724,"1,165",-403,38,TITAN
Mar 2011,815,-895,-17,-97,UPL
Mar 2012,162,-680,-178,-696,UPL
Mar 2013,"1,699",-765,-72,862,UPL
Mar 2014,"1,441",-427,"-1,680",-667,UPL
Mar 2015,"1,409",-463,-991,-45,UPL
Mar 2016,"1,396","-1,734",469,131,UPL
Mar 2017,"2,585","-1,022",140,"1,703",UPL
Mar 2018,"2,839","-2,059",-801,-21,UPL
Mar 2019,"2,356","-31,282","28,893",-33,UPL
Mar 2020,"8,739","-2,666","-2,175","3,898",UPL
Mar 2021,"7,212","-2,426","-6,713","-1,927",UPL
Mar 2022,"6,496","-3,575","-1,921","1,000",UPL
Mar 2011,"1,993","-2,168",253,79,ULTRACEMCO
Mar 2012,"3,427","-3,050",-353,24,ULTRACEMCO
Mar 2013,"3,618","-4,362",715,-30,ULTRACEMCO
Mar 2014,"3,455","-2,342",-949,164,ULTRACEMCO
Mar 2015,"4,190","-2,144","-2,110",-63,ULTRACEMCO
Mar 2016,"4,526","-3,673",-844,8,ULTRACEMCO
Mar 2017,"5,005","-2,501","-2,535",-31,ULTRACEMCO
Mar 2018,"3,888","1,866","-5,735",18,ULTRACEMCO
Mar 2019,"5,956","1,165","-6,757",364,ULTRACEMCO
Mar 2020,"8,972","-4,192","-5,076",-295,ULTRACEMCO
Mar 2021,"12,500","-8,856","-4,356",-712,ULTRACEMCO
Mar 2022,"9,283","2,257","-12,498",-958,ULTRACEMCO
Mar 2011,"4,044","-1,672","-2,746",-374,WIPRO
Mar 2012,"4,009",-638,"-1,719","1,652",WIPRO
Mar 2013,"6,394","-4,536","-1,140",717,WIPRO
Mar 2014,"6,790",-284,"-3,570","2,936",WIPRO
Mar 2015,"7,840","-2,537",-830,"4,474",WIPRO
Mar 2016,"7,887","-13,761",-159,"-6,032",WIPRO
Mar 2017,"9,277","-11,770","-2,275","-4,767",WIPRO
Mar 2018,"8,423","3,595","-12,998",-979,WIPRO
Mar 2019,"11,632","5,065","-4,937","11,760",WIPRO
Mar 2020,"10,064","3,593","-15,100","-1,442",WIPRO
Mar 2021,"14,755",685,"-12,884","2,556",WIPRO
Mar 2022,"11,080","-22,321","4,659","-6,583",WIPRO