quarter,promoter,fiis,diis,public,government,other,symbol
Dec 2020,,47.46,42.46,9.66,0.42,,ICICIBANK
Mar 2021,,47.81,41.7,10.06,0.43,,ICICIBANK
Jun 2021,,48.03,41.7,10.02,0.25,,ICICIBANK
Sep 2021,,47.31,42.49,9.95,0.25,,ICICIBANK
Dec 2021,,45.3,43.75,10.7,0.24,,ICICIBANK
Mar 2022,,43.95,44.58,11.23,0.24,,ICICIBANK
Jun 2022,,43.54,45.33,10.89,0.23,,ICICIBANK
Sep 2022,,44.77,44.55,10.44,0.24,,ICICIBANK
Dec 2019,,15.18,42.58,0,42.24,,ITC
Mar 2020,,14.65,42.46,42.89,0,,ITC
Jun 2020,,14.6,42.09,43.31,0,,ITC
Sep 2020,,12.96,43.54,43.5,0,,ITC
Dec 2020,,13.31,42.94,43.75,0,,ITC
Mar 2021,,12.79,42.5,44.71,0,,ITC
Jun 2021,,11.74,42.4,45.86,0,,ITC
Sep 2021,,10.81,43.72,45.47,0,,ITC
Dec 2021,,9.99,43.79,46.22,0,,ITC
Mar 2022,,11.99,42.77,45.24,0,,ITC
Jun 2022,,12.68,42.82,44.5,0,,ITC
Sep 2022,,42.68,42.38,14.87,0.04,,ITC
Dec 2019,14.38,55.22,14.95,15.45,0,,INDUSINDBK
Mar 2020,14.34,53.58,15.5,16.58,0,,INDUSINDBK
Jun 2020,14.65,52.07,14.72,18.55,0,,INDUSINDBK
Sep 2020,14.68,51.81,17.24,16.27,0,,INDUSINDBK
Dec 2020,14.67,54.93,16.2,14.21,0,,INDUSINDBK
Mar 2021,16.55,50.91,18.11,14.43,0,,INDUSINDBK
Jun 2021,16.54,52.05,17.74,13.66,0,,INDUSINDBK
Sep 2021,16.54,51.44,18.97,13.05,0,,INDUSINDBK
Dec 2021,16.53,47.65,20.22,15.6,0,,INDUSINDBK
Mar 2022,16.52,46.33,21.85,15.3,0,,INDUSINDBK
Jun 2022,16.51,45.83,21.02,16.63,0,,INDUSINDBK
Sep 2022,16.51,46.97,22.24,13.93,0.37,,INDUSINDBK
Dec 2019,13.15,31.76,23.99,30.66,0,0.44,INFY
Mar 2020,13.15,31.01,24.68,30.73,0,0.43,INFY
Jun 2020,13.15,30.47,25.43,30.53,0,0.42,INFY
Sep 2020,12.95,31.31,24.97,30.37,0,0.4,INFY
Dec 2020,12.95,32.26,23.75,30.66,0,0.38,INFY
Mar 2021,12.95,32.67,23.1,30.92,0,0.36,INFY
Jun 2021,12.95,33.39,21.98,31.32,0,0.36,INFY
Sep 2021,13.12,33.46,15.66,37.41,0,0.35,INFY
Dec 2021,13.12,33.17,16.31,37.06,0,0.34,INFY
Mar 2022,13.11,33.3,17.1,36.16,0,0.33,INFY
Jun 2022,13.11,31.72,18.88,35.98,0,0.31,INFY
Sep 2022,15.16,36.2,32.13,15.93,0.18,0.35,INFY
Dec 2019,42.33,17.64,4.11,34.79,0.51,0.62,JSWSTEEL
Mar 2020,42.71,17.13,4.39,34.65,0.51,0.61,JSWSTEEL
Jun 2020,43.07,15.35,4.93,35.54,0.51,0.61,JSWSTEEL
Sep 2020,44.07,13.34,5.84,35.69,0.51,0.54,JSWSTEEL
Dec 2020,44.07,13.31,6.29,35.31,0.51,0.5,JSWSTEEL
Mar 2021,44.07,12.69,7.11,35.15,0.51,0.47,JSWSTEEL
Jun 2021,44.07,12.93,7.16,34.92,0.51,0.41,JSWSTEEL
Sep 2021,44.09,12.17,8.06,34.8,0.51,0.37,JSWSTEEL
Dec 2021,44.72,11.21,8.38,34.85,0.51,0.33,JSWSTEEL
Mar 2022,45.01,11.58,7.94,34.65,0.51,0.31,JSWSTEEL
Jun 2022,45.02,10.61,9.07,34.14,0.51,0.65,JSWSTEEL
Sep 2022,45.2,10.75,9.25,33.7,0.51,0.6,JSWSTEEL
Dec 2019,29.96,39.75,12.38,17.92,,,KOTAKBANK
Mar 2020,29.92,39.17,12.64,18.26,,,KOTAKBANK
Jun 2020,26.07,42.15,15.27,16.51,,,KOTAKBANK
Sep 2020,26.05,42.23,15.26,16.46,,,KOTAKBANK
Dec 2020,26.03,45.09,12.92,15.96,,,KOTAKBANK
Mar 2021,26.02,44.23,13.53,16.22,,,KOTAKBANK
Jun 2021,26,42.77,14.62,16.61,,,KOTAKBANK
Sep 2021,26,42.58,15.29,16.13,,,KOTAKBANK
Dec 2021,25.99,42.06,15.49,16.46,,,KOTAKBANK
Mar 2022,25.98,40.86,16.6,16.56,,,KOTAKBANK
Jun 2022,25.97,40.55,17.29,16.2,,,KOTAKBANK
Sep 2022,25.96,40.92,19.96,13.16,,,KOTAKBANK
Dec 2019,18.78,37.42,0.29,43.51,,,LT
Mar 2020,16.9,37.99,0.38,44.72,,,LT
Jun 2020,18.77,36.05,0.5,44.67,,,LT
Sep 2020,17.89,35.55,0.5,46.06,,,LT
Dec 2020,21.11,33.3,0.5,45.09,,,LT
Mar 2021,22.02,33.19,0.5,44.29,,,LT
Jun 2021,22.88,32.75,0.23,44.14,,,LT
Sep 2021,22.86,33.11,0.23,43.8,,,LT
Dec 2021,23.24,32.71,0.23,43.82,,,LT
Mar 2022,22.42,33.49,0.23,43.86,,,LT
Jun 2022,21.09,34.61,0.23,44.07,,,LT
Sep 2022,22.12,40.49,0.23,37.17,,,LT
Dec 2019,19.87,33.96,27.81,13.8,0.17,4.39,M&M
Mar 2020,19.89,33.88,28.12,13.58,0.17,4.35,M&M
Jun 2020,19.6,34.61,29.34,11.95,0.24,4.25,M&M
Sep 2020,19.58,34.72,30.68,10.56,0.24,4.22,M&M
Dec 2020,19.44,37.9,28.24,10.02,0.24,4.15,M&M
Mar 2021,19.45,38.93,27.35,9.91,0.24,4.12,M&M
Jun 2021,19.46,40.05,26.12,10.2,0.07,4.1,M&M
Sep 2021,19.46,38.92,27.08,10.4,0.07,4.07,M&M
Dec 2021,19.47,38.66,27.81,9.95,0.07,4.03,M&M
Mar 2022,19.47,37.3,28.78,10.4,0.07,3.97,M&M
Jun 2022,19.45,37.94,28.93,9.66,0.07,3.95,M&M
Sep 2022,19.38,38.27,28.5,9.83,0.07,3.92,M&M
Dec 2019,56.21,23.18,15.61,5,0,,MARUTI
Mar 2020,56.28,21.63,16.69,5.4,0,,MARUTI
Jun 2020,56.28,21.47,17.06,5.19,0,,MARUTI
Sep 2020,56.37,21.86,16.75,5.02,0,,MARUTI
Dec 2020,56.37,23.09,15.66,4.88,0,,MARUTI
Mar 2021,56.37,23.11,15.08,5.44,0,,MARUTI
Jun 2021,56.37,22.9,15.76,4.97,0,,MARUTI
Sep 2021,56.37,22.52,15.98,5.13,0,,MARUTI
Dec 2021,56.37,23.6,15.29,4.74,0,,MARUTI
Mar 2022,56.37,22.57,16.25,4.81,0,,MARUTI
Jun 2022,56.37,21.89,18.01,3.73,0,,MARUTI
Sep 2022,56.37,21.84,18.1,3.62,0.06,,MARUTI
Dec 2019,54.14,12.76,30.55,2.47,0.08,,NTPC
Mar 2020,51.02,12.64,33.46,2.78,0.1,,NTPC
Jun 2020,51.02,11.43,34.58,2.87,0.1,,NTPC
Sep 2020,51.02,11.38,34.87,2.59,0.13,,NTPC
Dec 2020,51.1,12.32,33.45,2.99,0.14,,NTPC
Mar 2021,51.1,11.94,33.93,2.89,0.14,,NTPC
Jun 2021,51.1,13.13,32.93,2.76,0.09,,NTPC
Sep 2021,51.1,13.48,31.98,3.23,0.21,,NTPC
Dec 2021,51.1,14.54,30.91,3.28,0.17,,NTPC
Mar 2022,51.1,14.74,30.76,3.23,0.17,,NTPC
Jun 2022,51.1,14,31.33,3.4,0.17,,NTPC
Sep 2022,51.1,14.97,31.31,2.5,0.1,,NTPC
Dec 2019,62.76,12.07,8.92,16.18,0.07,,NESTLEIND
Mar 2020,62.76,11.81,9.12,16.24,0.07,,NESTLEIND
Jun 2020,62.76,12.1,8.71,16.36,0.07,,NESTLEIND
Sep 2020,62.76,11.51,8.91,16.82,0,,NESTLEIND
Dec 2020,62.76,12.84,7.75,16.65,0,,NESTLEIND
Mar 2021,62.76,12.29,7.95,16.99,0,,NESTLEIND
Jun 2021,62.76,12.43,7.92,16.88,0,,NESTLEIND
Sep 2021,62.76,12.31,7.99,16.93,0,,NESTLEIND
Dec 2021,62.76,12.35,7.89,16.99,0,,NESTLEIND
Mar 2022,62.76,12.01,8.6,16.62,0,,NESTLEIND
Jun 2022,62.76,11.65,9.14,16.45,0,,NESTLEIND
Sep 2022,62.76,12.05,8.86,16.33,0,,NESTLEIND
Dec 2019,62.78,8.65,15.74,12.83,0,,ONGC
Mar 2020,60.41,7.62,17.87,14.1,0,,ONGC
Jun 2020,60.41,8.1,17.37,14.13,0,,ONGC
Sep 2020,60.41,7.69,17.54,14.36,0,,ONGC
Dec 2020,60.41,7.67,17.71,14.21,0,,ONGC
Mar 2021,60.41,8.08,17.48,14.03,0,,ONGC
Jun 2021,60.41,8.06,17.6,13.93,0,,ONGC
Sep 2021,60.41,8.08,17.87,13.64,0,,ONGC
Dec 2021,60.41,8.87,17.19,13.53,0,,ONGC
Mar 2022,58.91,9.91,16.36,14.82,0,,ONGC
Jun 2022,58.89,9.97,17.83,13.31,0,,ONGC
Sep 2022,58.89,8.96,18.53,3.32,10.3,,ONGC
Dec 2019,54.96,27.36,13.2,4.47,,,POWERGRID
Mar 2020,51.34,27.02,16.65,4.99,,,POWERGRID
Jun 2020,51.34,25.32,18.32,5.02,,,POWERGRID
Sep 2020,51.34,26.04,16.14,6.48,,,POWERGRID
Dec 2020,51.34,26.74,15.53,6.39,,,POWERGRID
Mar 2021,51.34,28.39,13.77,6.5,,,POWERGRID
Jun 2021,51.34,28.28,13.88,6.51,,,POWERGRID
Sep 2021,51.34,27.87,8.38,12.41,,,POWERGRID
Dec 2021,51.34,28.19,8.42,12.05,,,POWERGRID
Mar 2022,51.34,29.35,16.02,3.29,,,POWERGRID
Jun 2022,51.34,30.25,15.17,3.24,,,POWERGRID
Sep 2022,51.34,31.7,13.79,3.17,,,POWERGRID
Dec 2019,50.03,24.54,13.75,11.49,0.19,,RELIANCE
Mar 2020,50.07,24.08,13.78,11.87,0.2,,RELIANCE
Jun 2020,50.37,24.75,13.58,11.1,0.21,,RELIANCE
Sep 2020,50.49,25.23,13.15,10.93,0.2,,RELIANCE
Dec 2020,50.54,25.18,12.9,11.19,0.2,,RELIANCE
Mar 2021,50.58,25.66,12.62,10.94,0.2,,RELIANCE
Jun 2021,50.59,25.11,13.09,11.03,0.18,,RELIANCE
Sep 2021,50.61,25.41,13.2,10.6,0.18,,RELIANCE
Dec 2021,50.61,24.75,13.62,10.85,0.17,,RELIANCE
Mar 2022,50.66,24.23,14.23,10.71,0.17,,RELIANCE
Jun 2022,50.62,23.9,14.67,10.64,0.17,,RELIANCE
Sep 2022,50.56,23.58,14.91,10.78,0.16,,RELIANCE
Dec 2019,62.8,26.4,5.54,5.26,,,SBILIFE
Mar 2020,62.8,25.87,5.74,5.59,,,SBILIFE
Jun 2020,60.7,26.15,7.02,6.14,,,SBILIFE
Sep 2020,60.7,25.75,7.05,6.51,,,SBILIFE
Dec 2020,60.7,26.99,5.93,6.38,,,SBILIFE
Mar 2021,55.7,30.51,6.94,6.85,,,SBILIFE
Jun 2021,55.7,27.24,9.64,7.43,,,SBILIFE
Sep 2021,55.69,24.48,12.06,7.77,,,SBILIFE
Dec 2021,55.69,24.47,12,7.84,,,SBILIFE
Mar 2022,55.48,24.15,12.46,7.91,,,SBILIFE
Jun 2022,55.48,23.9,12.29,8.33,,,SBILIFE
Sep 2022,55.46,24.33,15.65,4.56,,,SBILIFE
Dec 2019,57.68,10.98,24.51,6.78,0.05,,SBIN
Mar 2020,57.63,9.59,24.55,8.12,0.11,,SBIN
Jun 2020,57.64,7.91,24.7,9.55,0.2,,SBIN
Sep 2020,57.63,7.75,25.29,9.13,0.2,,SBIN
Dec 2020,57.64,9.82,24.88,7.46,0.2,,SBIN
Mar 2021,57.63,9.94,24.4,7.83,0.2,,SBIN
Jun 2021,57.62,10.34,24.19,7.7,0.15,,SBIN
Sep 2021,57.62,10.55,24.17,7.51,0.15,,SBIN
Dec 2021,57.6,10.37,24.1,7.78,0.15,,SBIN
Mar 2022,57.59,9.97,24.66,7.63,0.15,,SBIN
Jun 2022,57.57,9.62,25.09,7.58,0.15,,SBIN
Sep 2022,57.52,9.95,25.39,7.1,0.03,,SBIN
Dec 2019,54.56,13.89,19.07,12.48,0,,SUNPHARMA
Mar 2020,54.69,12.81,19.56,12.94,0,,SUNPHARMA
Jun 2020,54.69,12.7,20.11,12.51,0,,SUNPHARMA
Sep 2020,54.69,12.38,20.45,12.48,0,,SUNPHARMA
Dec 2020,54.48,12.19,20.84,12.49,0,,SUNPHARMA
Mar 2021,54.48,11.67,21.62,12.23,0,,SUNPHARMA
Jun 2021,54.48,11.5,21.97,12.05,0,,SUNPHARMA
Sep 2021,54.48,12.07,21.73,11.72,0,,SUNPHARMA
Dec 2021,54.48,13,20.99,11.53,0,,SUNPHARMA
Mar 2022,54.48,14.44,20.02,11.06,0,,SUNPHARMA
Jun 2022,54.48,14.95,19.66,10.91,0,,SUNPHARMA
Sep 2022,54.48,16,19.64,9.8,0.06,,SUNPHARMA
Dec 2019,72.05,15.9,8.04,3.95,0.06,,TCS
Mar 2020,72.05,15.74,8,4.14,0.06,,TCS
Jun 2020,72.05,15.85,8.02,4.01,0.07,,TCS
Sep 2020,72.05,16,7.85,4.03,0.07,,TCS
Dec 2020,72.05,15.88,7.71,4.29,0.07,,TCS
Mar 2021,72.19,15.62,7.83,4.31,0.06,,TCS
Jun 2021,72.19,15.43,7.97,4.38,0.04,,TCS
Sep 2021,72.19,15.37,7.89,4.51,0.04,,TCS
Dec 2021,72.19,14.98,7.93,4.86,0.04,,TCS
Mar 2022,72.3,14.15,7.81,5.7,0.04,,TCS
Jun 2022,72.3,13.5,8.36,5.8,0.05,,TCS
Sep 2022,72.3,13.05,8.53,6.06,0.05,,TCS
Dec 2019,34.45,26.04,14.89,24.62,0,,TATACONSUM
Mar 2020,34.69,17.08,21.8,26.42,0.01,,TATACONSUM
Jun 2020,34.69,19.49,19.83,25.97,0.01,,TATACONSUM
Sep 2020,34.7,21.65,17.69,25.95,0.01,,TATACONSUM
Dec 2020,34.71,25.68,13.62,25.97,0.01,,TATACONSUM
Mar 2021,34.71,25.24,12.55,27.48,0.01,,TATACONSUM
Jun 2021,34.71,25.02,13.99,26.27,0.01,,TATACONSUM
Sep 2021,34.71,25.93,13.3,26.04,0.01,,TATACONSUM
Dec 2021,34.72,25.67,13.41,26.2,0.01,,TATACONSUM
Mar 2022,34.72,25.36,13.71,26.2,0.01,,TATACONSUM
Jun 2022,34.72,25.33,13.99,25.96,0.01,,TATACONSUM
Sep 2022,34.72,25.59,14.91,24.78,0.01,,TATACONSUM
Dec 2019,42.39,18.32,14.89,24.24,0.16,,TATAMOTORS
Mar 2020,42.39,16.84,13.42,27.19,0.16,,TATAMOTORS
Jun 2020,42.39,15.62,13.22,28.6,0.16,,TATAMOTORS
Sep 2020,42.39,15.84,13.06,28.55,0.16,,TATAMOTORS
Dec 2020,42.39,15.61,12.56,29.27,0.16,,TATAMOTORS
Mar 2021,46.41,13.78,11.91,27.75,0.15,,TATAMOTORS
Jun 2021,46.41,14.28,11.47,27.69,0.15,,TATAMOTORS
Sep 2021,46.41,13.35,13.3,26.8,0.15,,TATAMOTORS
Dec 2021,46.4,14.57,13.64,25.24,0.14,,TATAMOTORS
Mar 2022,46.4,14.45,14.38,24.62,0.14,,TATAMOTORS
Jun 2022,46.4,13.71,15.17,24.57,0.14,,TATAMOTORS
Sep 2022,46.4,14.13,14.75,24.58,0.14,,TATAMOTORS
Dec 2019,33.12,15.34,29.27,22.08,0.2,,TATASTEEL
Mar 2020,34.41,12.39,29.66,23.32,0.22,,TATASTEEL
Jun 2020,34.41,11.84,29.79,23.73,0.22,,TATASTEEL
Sep 2020,34.41,11.45,29.87,24.02,0.25,,TATASTEEL
Dec 2020,34.41,16.87,25.84,22.62,0.25,,TATASTEEL
Mar 2021,34.41,18.56,25.16,21.62,0.25,,TATASTEEL
Jun 2021,34.41,21.94,19.28,24.27,0.1,,TATASTEEL
Sep 2021,34.41,22.38,18.28,24.83,0.1,,TATASTEEL
Dec 2021,33.92,21.36,18.11,26.51,0.1,,TATASTEEL
Mar 2022,33.92,22.87,20.41,22.7,0.1,,TATASTEEL
Jun 2022,33.92,21.95,19.01,25.02,0.1,,TATASTEEL
Sep 2022,33.92,21.52,18.17,26.23,0.16,,TATASTEEL
Dec 2019,35.87,39.75,12.94,11.26,0.17,0.01,TECHM
Mar 2020,35.85,39.67,13.2,11.11,0.17,0.01,TECHM
Jun 2020,35.83,39.62,13.03,11.34,0.17,0.01,TECHM
Sep 2020,35.82,37.96,14.23,11.82,0.17,0.01,TECHM
Dec 2020,35.79,39.05,13.54,11.45,0.17,0.01,TECHM
Mar 2021,35.76,38.32,14.39,11.36,0.17,0.01,TECHM
Jun 2021,35.73,36.15,16.5,11.44,0.17,0.01,TECHM
Sep 2021,35.7,35.55,16.9,11.67,0.17,0.01,TECHM
Dec 2021,35.67,35.36,17.22,11.58,0.17,0.01,TECHM
Mar 2022,35.26,34.27,18.05,12.25,0.17,0,TECHM
Jun 2022,35.24,30.43,20.73,13.43,0.17,0,TECHM
Sep 2022,35.21,28.2,23.61,12.81,0.17,0,TECHM
Dec 2019,52.91,18.31,9.1,19.5,0.18,,TITAN
Mar 2020,52.91,17.74,10.87,18.26,0.23,,TITAN
Jun 2020,52.91,17.55,10.81,18.38,0.36,,TITAN
Sep 2020,52.9,18.05,10.97,17.73,0.35,,TITAN
Dec 2020,52.9,18.59,10.86,17.3,0.35,,TITAN
Mar 2021,52.9,18.1,11.13,17.53,0.35,,TITAN
Jun 2021,52.9,18.41,9.87,18.61,0.21,,TITAN
Sep 2021,52.9,19.06,10.1,17.78,0.16,,TITAN
Dec 2021,52.9,18.56,10.29,18.09,0.16,,TITAN
Mar 2022,52.9,18.4,10.21,18.33,0.16,,TITAN
Jun 2022,52.9,16.77,11.26,18.91,0.16,,TITAN
Sep 2022,52.9,17.04,11.71,18.17,0.17,,TITAN
Dec 2019,27.89,43.51,11.13,17.16,0.31,,UPL
Mar 2020,27.89,41.92,12.27,17.61,0.31,,UPL
Jun 2020,27.88,40.57,12.85,18.39,0.31,,UPL
Sep 2020,27.88,37.16,15.92,18.73,0.31,,UPL
Dec 2020,27.85,35.36,16.33,20.15,0.31,,UPL
Mar 2021,27.96,37.83,15.83,18.28,0.1,,UPL
Jun 2021,27.96,37.87,16.17,18,0,,UPL
Sep 2021,27.96,35.13,17.97,18.95,0,,UPL
Dec 2021,28.24,34.27,18.65,18.84,0,,UPL
Mar 2022,28.45,35.3,17.8,18.45,0,,UPL
Jun 2022,28.96,36.45,16.45,18.14,0,,UPL
Sep 2022,28.96,35.57,17.19,18.28,0,,ULTRACEMCO
Dec 2019,60.19,17.6,12.99,9.08,0.07,0.07,ULTRACEMCO
Mar 2020,60.04,16.48,14.15,9.18,0.07,0.07,ULTRACEMCO
Jun 2020,60.04,16.1,14.59,9.12,0.07,0.07,ULTRACEMCO
Sep 2020,59.91,15.3,15.38,9.26,0.08,0.07,ULTRACEMCO
Dec 2020,59.97,16.8,14.1,8.98,0.08,0.07,ULTRACEMCO
Mar 2021,59.96,17.28,13.74,8.87,0.08,0.07,ULTRACEMCO
Jun 2021,59.96,16.58,14.39,8.95,0.05,0.07,ULTRACEMCO
Sep 2021,59.96,16.48,14.51,8.91,0.05,0.09,ULTRACEMCO
Dec 2021,59.96,15.74,15.15,9,0.05,0.1,ULTRACEMCO
Mar 2022,59.96,14.03,16.39,9.48,0.05,0.09,ULTRACEMCO
Jun 2022,59.96,13.12,18.16,8.62,0.05,0.09,ULTRACEMCO
Sep 2022,59.96,14.06,17.3,8.5,0.05,0.14,ULTRACEMCO
Dec 2019,74.04,8.42,7,10.11,,0.43,WIPRO
Mar 2020,74.04,8.45,7.02,10.09,,0.4,WIPRO
Jun 2020,74.02,7.84,7.61,10.13,,0.39,WIPRO
Sep 2020,74.02,8.39,6.49,10.72,,0.38,WIPRO
Dec 2020,74.01,8.46,6.08,11.09,,0.36,WIPRO
Mar 2021,73.02,9.21,6.16,11.25,,0.35,WIPRO
Jun 2021,73.02,9.83,5.69,11.11,,0.34,WIPRO
Sep 2021,73.02,9.69,2.05,14.92,,0.32,WIPRO
Dec 2021,73.01,9.34,2.77,14.59,,0.29,WIPRO
Mar 2022,73,8.12,3.24,15.37,,0.27,WIPRO
Jun 2022,73,6.95,3.43,16.36,,0.25,WIPRO
Sep 2022,72.96,6.58,7.96,12.29,,0.21,WIPRO